"Routing_plan","FN","FRRR","SRRR","SN"
"Others","0",NA,"0.9066","2"
"2 Region NE","1","0.9298","0.9068","2"
"1 Climb-RUN FIRST","1","0.9771","0.9537","2"
"3 Region SE","1","0.9139","0.8855","2"
"6 Region West","1","0.8752","0.8452","2"
"Intraday CLIMB","24","0.9437","0.9169","49"
"Intraday Region NE","19","0.9319","0.9041","37"
"Intraday Region SE","16","0.9322","0.9269","33"
"Intraday Region MW","19","0.9475","0.9262","37"
"Intraday Region SP","19","0.9572","0.9247","37"
"Intraday Region West","17","0.9685","0.9467","34"
