"Routing_plan","FRRR_id_rgt","FRRR_AA","FRRR_AAs","FRRR_OvC","FRRR_TrC","FRRR_SlC","FRRR_RP","FRRR_AL","FRRR_WT","FRRR_RD","FRRR_RCD","FRRR_Ovt","FRRR_OvWt","FRRR_RV","FRRR_SNA","FRRR_RAA","FRRR_RSAA","FRRR_RSLA","FRRR_TRAS","SRRR_id_rgt","SRRR_AA","SRRR_AAs","SRRR_OvC","SRRR_TrC","SRRR_SlC","SRRR_RP","SRRR_AL","SRRR_WT","SRRR_RD","SRRR_RCD","SRRR_Ovt","SRRR_OvWt","SRRR_RV","SRRR_SNA","SRRR_RAA","SRRR_RSAA","SRRR_RSLA","SRRR_TRAS"
"2 Region NE","2018819","982","0.884684684684685","1.41140529531568","13.8401221995927","5615.19653767821","43121900.066907","0.992418859252265","598.153846153846","0.68880744170096","0.067556802308562","55.5384615384615","0.0928497942386831","42794986.87319","Inf","0.702786039188244","0.800912033253095","0.903650839440202","0.291302297668038","2025045","967","0.88845293278283","1.66316063085112","14.2856073182837","6380.40289068784","53251249.498462","0.99339628860201","606.92358974359","0.686348845046509","0.0644492680894568","68.7692307692308","0.113016490336744","52909494.33862","Inf","0.697634577352213","0.802111271100923","0.926186408264572","0.148795607270294"
"1 Climb-RUN FIRST","2018838","871","0.997709049255441","1.59357060849598","8.38805970149254","3371.52927669346","30325815","0.99285800884494","816.177777777778","0.778996950555434","0.0933778471464563","94.2888888888889","0.115524940100196","30109228.2975","Inf","0.796586574602556","0.986933771119856","0.931864212140712","0.198921803528643","2025013.5","872","0.873854524627721","1.8718139411323","9.86356020584363","4589.54642528831","37016285","0.993174846173167","777.514814814815","0.758263826924416","0.0830417138113075","105.135185185185","0.136250113541","36765762.9514165","Inf","0.772431875985321","0.649218707851","0.937008972731665","0.111145911236656"
"3 Region SE","2019009","1050","0.771491550330639","1.29142857142857","16.332380952381","6992.18285714286","73222796.102048","0.994485368956175","552.457446808511","0.658142535287208","0.0589388168223646","46.7021276595745","0.0845352486953842","72818999.397548","Inf","0.665887349737955","0.556586165854031","0.934708661072091","0.330226646896844","2025320.5","1029.5","0.774121448760393","1.52876681296899","16.766785124357","7006.99628486479","78094877.9677375","0.994707857386409","569.636769381267","0.654341085284095","0.056891000705843","58.7131327953045","0.102528529681365","77682672.7179875","Inf","0.661333170201994","0.59098884308923","0.946026237729389","0.16762015885192"
"6 Region West","2019544","1283","0.838562091503268","1.90101325019486","22.0561184723305","9355.4941543258","109198575","0.994041444457796","475.621621621622","0.588078190703489","0.0451334727619304","29.1351351351351","0.0612569610182975","108547909.225733","Inf","0.59396791689385","0.73280535631326","0.93611466792737","0.402005909762473","2025725.5","1240.5","0.838455293477316","1.89291063177522","21.6933346952637","8561.56969819796","109678438.125","0.99430744896412","488.245925314628","0.596360246325622","0.0458629939733136","38.3652774912317","0.078141206451783","109054215.664191","Inf","0.601098818857491","0.733104252487407","0.945224310734535","0.197785268122752"
"Intraday CLIMB","2025989.5","804.5","0.976664380692143","15.7814281767956","25.0998599439776","11613.5649565571","98292675","0.993204742029757","384.060237556561","0.553451721405214","0.028211556929515","247.496974789916","0.552291846153786","97620832.0071665","Inf","0.553662539992865","0.941426363518707","0.973109518651135","0.0186533021084582","2029891","794","0.970724191063174","15.217","22.0352112676056","10285.9233716475","90853590","0.99353079397199","381.271428571429","0.585220758071753","0.0320065831042224","246.53781512605","0.567042980719855","90259745.431667","Inf","0.589471922336597","0.925436102079369","0.976419729314589","0.00861172372788997"
"Intraday Region NE","2024926","904","0.911209766925638","12.2545676004872","24.7941534713764","11369.7313019391","105703665","0.993415927007694","381.139705882353","0.555490607646731","0.0281283327411716","213.410447761194","0.52308502160871","105043909.197583","Inf","0.555525434231164","0.923654862988984","0.963995670812409","0.0230629498522967","2028610","904","0.930979133226324","12.0177580466149","22.4451612903226","10438.3551088777","83927940","0.992859145099108","380.955882352941","0.585512924503757","0.0315524737300669","202.219696969697","0.52308502160871","83289197.9331","Inf","0.58927781871776","0.923352194020416","0.962779106984656","0.0113814197370915"
"Intraday Region SE","2025093.5","880.5","0.786324210904276","14.8324692646177","25.0515737156298","11681.1442369921","107002425","0.99342811397132","380.068665377176","0.555558096038028","0.0277552348913021","221.99309010503","0.545877885938978","106289505.132667","Inf","0.556654706176897","0.709643194472085","0.967353556951594","0.0276369985271311","2034406","864","0.788515406162465","13.600278551532","23.0362116991643","10457.6137184116","97864470","0.993758731091754","375.885496183206","0.578014002293774","0.0314536780628111","221.134328358209","0.568328699007864","97253671.526167","Inf","0.580248822902705","0.713029424550101","0.96869486811243","0.0128818825121878"
"Intraday Region MW","2026063","804","0.831437435367115","15.3084311632871","25.9320175438597","11786.2","112136040","0.993963665907994","389.102941176471","0.54283323069149","0.027616082272194","251.113821138211","0.583321620180629","111421886.37205","Inf","0.548445252795992","0.899272642768667","0.972275085755693","0.0233423532260922","2029318","806","0.858778625954199","15.1197674418605","23.6318063958513","10692.105","83094825","0.992810951416048","380.899224806202","0.562330041505653","0.0312752117774806","245.661157024793","0.587177724952632","82497452.266","Inf","0.566639882975874","0.899272642768667","0.967152840933548","0.0115797130345857"
"Intraday Region SP","2026021","803","0.723618090452261","14.2887473460722","25.0668693009119","11825.3067885117","92081925","0.992884864516403","376.35593220339","0.553851660669543","0.0273961261871183","251.85593220339","0.576465557797442","91435501.6245","Inf","0.554792528438469","0.687721385772971","0.966220529236292","0.0232420450685905","2029373","820","0.716783216783217","14.4182926829268","23.1507823613087","10666.9267399267","79462339.285714","0.992692779124236","376.460992907801","0.570762667228484","0.0313164310756357","240.845528455285","0.578113765081699","78874108.630464","Inf","0.57112364287973","0.670364547811737","0.966203566098207","0.011274461213296"
"Intraday Region West","2027007","648","0.817150063051702","22.9490740740741","25.412037037037","12152.9977220957","84597780","0.993168968147474","374.395833333333","0.549222797927461","0.0247495834617095","326.851485148515","0.626492531494079","84019889.870167","Inf","0.551552287581699","0.765001854552471","0.971069904314664","0.0261831534542034","2029850.5","648.5","0.820571039680694","19.3380065292483","23.745764014621","10624.3858635559","78481042.5","0.993341382567391","377.533834586466","0.564035129816789","0.0299441105464203","317.69362745098","0.674788756143889","77959108.3145","Inf","0.567774871070487","0.763040877652938","0.971165956930952","0.0120292925144766"
