"Routing_plan","FRRR_id_rgt","FRRR_AA","FRRR_AAs","FRRR_OvC","FRRR_TrC","FRRR_SlC","FRRR_RP","FRRR_AL","FRRR_WT","FRRR_RD","FRRR_RCD","FRRR_Ovt","FRRR_OvWt","FRRR_RV","FRRR_SNA","FRRR_RAA","FRRR_RSAA","FRRR_RSLA","FRRR_TRAS","SRRR_id_rgt","SRRR_AA","SRRR_AAs","SRRR_OvC","SRRR_TrC","SRRR_SlC","SRRR_RP","SRRR_AL","SRRR_WT","SRRR_RD","SRRR_RCD","SRRR_Ovt","SRRR_OvWt","SRRR_RV","SRRR_SNA","SRRR_RAA","SRRR_RSAA","SRRR_RSLA","SRRR_TRAS"
"1 Climb-RUN FIRST","9480900","4423","4.01613872796923","4.64105982016701","44.8006219968252","28686.6997647593","301246755","4.9811403491456","3342.69369712587","3.7888229887287","0.462072444126129","309.404071701216","0.464584628313485","300172784.348167","Inf","3.89404442836485","2.37680538081463","4.78031074698863","0.21502753267051","9844191","4390","4.47174473166081","12.2234766635865","47.6654595847164","28372.1044164787","279636120","4.98019957680886","3431.78317835172","3.75864211728768","0.44046058067673","342.790647400758","0.495975544215416","278528305.700334","Inf","3.83357332271917","3.48158711514334","4.78474284225614","0.228504775294467"
"2 Region NE","9470454","4856","4.16764378495658","3.42254673342401","62.7010892699351","33398.9674318939","323696287.354731","4.97653861976736","2833.48376878537","3.49712734452186","0.369838753866135","218.740796015589","0.387159481910241","322265878.875348","Inf","3.5792245503016","3.92033290072596","4.67333837388331","0.277602650831961","9844521","4931","4.28233856259626","10.698451835176","69.0778109652383","31959.5701732949","284956885.494631","4.97290002835999","2865.25679338806","3.42578478272215","0.346838314701555","232.737475635561","0.399408779025708","283423224.162165","Inf","3.48357042881328","3.89394901271821","4.56541493411641","0.297492411042664"
"3 Region SE","9492247","5234","3.77702336683382","3.78784035454994","76.0137003927555","34319.2810205514","359335105.164902","4.97466027578209","2698.27846115615","3.31243144710536","0.318421173774468","188.424380774387","0.348677197262846","357566100.822903","Inf","3.36832530748371","2.74911189884573","4.68846831362081","0.320726985508606","5883003","3146","2.29794562249368","1.58607323905895","50.0114204319192","22748.9363238193","230500250.737098","2.98461266302074","1559.42866082603","1.93715131081059","0.177045000720077","97.0955658859288","0.181635685202671","229357943.298097","Inf","1.9560831318112","1.61955707575","2.80495686552457","0.342828619095749"
"4 Region SP","9471937","5497","3.43148787147679","2.9939298260601","87.9095112223398","36113.632836194","410813909.621412","4.97403030174914","2568.45726314218","3.16516019672668","0.281993907357848","162.109358996701","0.314974220747546","408683072.404163","Inf","3.20385016630319","2.37874605579589","4.72207725800181","0.354624175012713","9845856","5542","3.41358995394428","9.56533203873648","92.2972135817933","38367.426776167","450670425.336344","4.9749034721354","2590.42359847532","3.12788382615495","0.275964269233946","177.571150429987","0.337476504679316","448461346.933928","Inf","3.15963098132924","2.50330416913765","4.71757343364244","0.362747010375435"
"5 Region MW","9472654","6003","4.11875184206507","3.30124042710838","101.015699915115","36597.2635678397","536431173.331281","4.97495808939535","2349.63634635766","3.01142634722885","0.245986449511133","129.564387389839","0.274970998781902","533777737.077164","Inf","3.04303120965066","4.27867109925881","4.72448767652217","0.387179132990738","9846384","5983","4.13143560940767","9.24365058817662","105.367817319971","39126.3668228536","556446092.051211","4.97512830075435","2389.93461655191","2.98576778223255","0.242440742298779","145.908748422662","0.299689846802029","553709898.328945","Inf","3.01334969597039","4.26385990021291","4.71342367683802","0.39215111064797"
"6 Region West","9473214","6261","4.21395584517929","4.5368229764071","105.342020594764","40489.0979776771","476718077.832563","4.96919801874551","2314.70645038937","2.9635668177412","0.237230236581377","122.810342228203","0.264644168510584","473814163.333997","Inf","2.99270975534111","3.70404406086568","4.7150053336112","0.397451195371582","7865798","4996","3.23945398296887","9.61810740517642","87.7715294237855","36684.6487133901","432710656.698258","3.97755947369506","1863.82197826727","2.33654901058338","0.184583614442612","101.345731932956","0.212483251239373","430313209.865474","Inf","2.35929183079521","2.93064878918596","3.79072268974315","0.404456467066123"
"Intraday CLIMB","220436157","84450","109.901773647004","20278393.6973134","2279.39258978649","1142043.94606994","9932302823.57143","115.320395140786","45635.7157577988","71.8673076448189","4.15927624839108","30111.8332997163","61.7964062303748","9878714400.88526","Inf","72.268670298367","103.196126449345","5093.75426455638","0.374900381616026","236972169","89350","116.45332480476","478805.831334425","2556.32064463311","1520379.13331997","12546195420","119.423281071376","47558.5881055302","72.7816499348534","4.22313009771547","31746.324431783","64.679033935035","12487194515.1877","Inf","73.0874628808162","112.943594289518","209.524743979984","0.385954760567739"
"Intraday Region NE","178590324","81336","81.0963822567688","13907581.1905352","1936.52061531257","944157.914183313","8660719114.3886","93.4432436437585","36031.1017479443","56.5454359448774","3.33637917978371","18822.8163332138","46.5914087511324","8610791456.10169","Inf","56.9135514183465","84.837849836809","2885.27745991084","0.391839668481984","181686936","81491","81.3432747153802","481034.219798332","1992.19765022332","1110512.49808259","9492372648.61786","91.4914604128999","35458.9205861084","55.1203245752197","3.25217514666647","18702.3695401329","47.0291121050574","9441179332.96007","Inf","55.3915707409431","82.5867806899092","196.908901082525","0.395932578781275"
"Intraday Region SE","150125652","65058","66.665794923263","13137987.7504726","1607.54735182233","805282.233666632","6898240258.42709","78.5083955603903","29692.2388428454","47.7847134029477","2.70241369721669","17374.1673756867","41.9950488826079","6856846928.05184","Inf","48.0637197872037","65.8472657778316","2703.71438038924","0.389172328624009","157980619","67396","68.4598305648333","480550.894423917","1739.67252231712","986229.471774734","8968575600.81504","79.5955492586903","30139.7714775212","47.8903739408184","2.71683259697332","17805.2416317796","43.9540190917777","8924168220.30022","Inf","48.0993360059432","65.3437364686317","175.444381924129","0.397364042362818"
"Intraday Region SP","172985600","68804","72.9876363829835","19476746.7747099","1878.05232623403","915183.313851112","7289362641.27217","90.3923098457962","35093.7190642201","55.0535144488793","3.08262962049369","23252.6842367199","51.3012213030979","7245034990.24775","Inf","55.3459028613789","68.9453249791358","6447.48972745862","0.39047570492677","179806633","71329","71.8274407146295","1689.25917529561","1983.25824517168","1141764.88905618","9384075501.66155","90.5166373363543","34612.5352053374","54.6458782350456","3.06381913726868","22639.8973516336","52.6732558054681","9336559015.78141","Inf","54.8629462375671","70.3703889207642","88.6156852991432","0.395665680689311"
