"Routing_plan","FRRR_id_rgt","FRRR_AA","FRRR_AAs","FRRR_OvC","FRRR_TrC","FRRR_SlC","FRRR_RP","FRRR_AL","FRRR_WT","FRRR_RD","FRRR_RCD","FRRR_Ovt","FRRR_OvWt","FRRR_RV","FRRR_SNA","FRRR_RAA","FRRR_RSAA","FRRR_RSLA","FRRR_TRAS","SRRR_id_rgt","SRRR_AA","SRRR_AAs","SRRR_OvC","SRRR_TrC","SRRR_SlC","SRRR_RP","SRRR_AL","SRRR_WT","SRRR_RD","SRRR_RCD","SRRR_Ovt","SRRR_OvWt","SRRR_RV","SRRR_SNA","SRRR_RAA","SRRR_RSAA","SRRR_RSLA","SRRR_TRAS"
"All prioirity routing","1904032","110","0.792592592592593","0","15.0277777777778","0","793200","0.951195499162867","386.076923076923","0.70065510335698","0.335676013833021","14.5","0.044584443905985","739599.82","Inf","0.728957915831663","0.935691318327974","0.0488405619349355","0.0062913499774596","1978791","101","0.830188679245283","0","15.5251798561151","0","819900","0.952021532707647","384.9","0.681172397325692","0.328426777012544","11.25","0.0279372368924608","780562.454667","Inf","0.730874316939891","0.94003128802364","0.0479784672923527","0.0069978305457971"
"PA - Chester / Lanc / York","1903043","104","0.576470588235294","0","19.6122448979592","0","1177500","0.968783177129089","450.928571428571","0.671721379770038","0.292139970019527","28.7333333333333","0.0619074978454467","1137281.821333","Inf","0.67713757769192","0.905420991926182","0.0312168228709107","0.0611660971496295","1977375","104","0.525252525252525","0","17.7980769230769","0","1129500","0.970011841227977","446.769230769231","0.675447658402204","0.312685187776788","21.4666666666667","0.0484283350879832","1095628.374667","Inf","0.6941431670282","0.842328042328042","0.029988158772023","0.0582983754062927"
"Priority 5 and 6 only","1902442","362","0.768518518518518","0","16.085635359116","0","4629000","0.968790435166832","376.191176470588","0.703313840155945","0.341050084344038","10.4230769230769","0.0282777690822768","4486897.962133","Inf","0.714488845305222","0.858545034642032","0.0319598944929388","0.05736916346445","1977095","342","0.972972972972973","0.473684210526316","16.2331288343558","0","5667000","0.972328886026123","418.160714285714","0.644760213143872","0.30797941473867","42.1666666666667","0.0989585879822031","5534970.266667","Inf","0.712765957446808","0.977209302325581","0.0294223896840748","0.0536106160367928"
"Mass","1902916","20","0.636363636363636","0","18.8666666666667","0","211500","0.964352700335354","396.5","0.652210884353742","0.282054517906424","0","0","205196.397333","Inf","0.67169373549884","0.824561403508772","0.0356472996646465","0.0631723900507789","1983624.5","27","0.84051724137931","0","17.562037037037","0","248250","0.965700183534317","391.125","0.686937962791532","0.305163192053387","0","0","238743.9906665","Inf","0.690823320472989","0.967335816777042","0.0342998164656834","0.0799633882509569"
"NY - Albany / SE NY","1903044","87","0.918367346938776","0","18.0972222222222","0","1287000","0.97954649049024","429.461538461538","0.703121439963545","0.329223033136372","0","0","1258301.138667","Inf","0.703121439963545","0.957589285714286","0.0204535095097598","0.0634516854245243","1977588","72","0.901098901098901","0","18.8780487804878","0","1194000","0.979033232466903","375.916666666667","0.668587896253602","0.300224570352139","0","0","1168089.378667","Inf","0.688906752411576","0.949880668257757","0.0209667675330969","0.0598976073218342"
"NY - Buffalo","1902991","38","0.785714285714286","0","18.0789473684211","0","360000","0.961285448147222","393.333333333333","0.689304595363969","0.301692472982891","0","0","347929.2","Inf","0.689304595363969","0.94478527607362","0.0387145518527778","0.0635015626038965","1977660","38","0.730769230769231","0","16.5789473684211","0","309000","0.958167811448773","431","0.704647676161919","0.326914089710693","0","0","296294.962667","Inf","0.704647676161919","0.923076923076923","0.0418321885512265","0.0605472141966245"
"PA - Central PA / Montages","1902944","65","0.714285714285714","0","18.983606557377","0","939000","0.976459219372863","345.857142857143","0.676174496644295","0.282450500604789","0","0","917379.949333","Inf","0.676174496644295","0.88385269121813","0.0235407806271367","0.0666490333637102","1977536","77","0.683168316831683","0","22.2210526315789","0","1054500","0.965016153493986","362.083333333333","0.649827217376995","0.251631553225372","13.5","0.0355438538752674","1028685.232","Inf","0.651650165016502","0.901282051282051","0.0349915784647766","0.0683969426604991"
"NY - Nassau / Suffolk","1902832","94","0.987341772151899","0","12.3846153846154","0","1605000","0.984829303648732","389.466666666667","0.774049982882574","0.395599084328814","21.6666666666667","0.0552877799829884","1578202.610667","Inf","0.778849466069583","0.990366088631985","0.0166961927308411","0.0434210977603494","1977797","118","0.786666666666667","0","11.9403973509934","0","1522500","0.98008219638752","381.722222222222","0.78675340035482","0.4273817000489","4.33333333333333","0.0113520593800029","1492175.144","Inf","0.788176617280329","0.963912630579297","0.0199178036124795","0.0406731101972493"
"CT  RI ","1902915","59","0.791666666666667","0","13.8493150684932","0","564000","0.969866053235165","355.444444444444","0.747260774287801","0.387357669266103","0","0","547863.170667","Inf","0.752051728425765","0.918141592920354","0.0301339467648352","0.049886760971868","1977789","68","0.596491228070175","0","14.3194444444444","0","597000","0.96767372913267","424.444444444444","0.725392670157068","0.370389140344298","10.5","0.0265285497726124","573236.872","Inf","0.739514906518444","0.87964989059081","0.03232627086733","0.0564518942156119"
"VT NH ME","1903014","48","0.82051282051282","0","20.2708333333333","0","564000","0.965510923570328","299.9","0.659335038363171","0.287730096212312","0","0","545681.306667","Inf","0.665635738831615","0.930885529157667","0.0344890764296725","0.0648772829493311","1983593.5","46.5","0.818940493468795","0","20.8801331853496","0","496500","0.964874831695853","330.422222222222","0.651370531779547","0.288744214267058","0","0","478861.9973335","Inf","0.660427420529055","0.931423923473672","0.0351251683041471","0.0570330088967054"
"NY - Metro","1902798","67","0.753846153846154","0.255102040816327","12.2456140350877","0","1128000","0.980885619686801","413.928571428571","0.793357933579336","0.377985115130673","17.2857142857143","0.0417601380500431","1099779.186667","Inf","0.796296296296296","0.832442067736185","0.0235715527002141","0.0440826148959616","1977664","90","0.527777777777778","0.178571428571429","11.8095238095238","0","1233000","0.979427927131414","405.75","0.784894483524621","0.390206652375415","11.3571428571429","0.03548634158795","1204994.157333","Inf","0.796357121528815","0.809852216748769","0.0224494195519399","0.0405042390087517"
"NJ","1902785","177","0.63716814159292","0","18.0069444444444","0","1947000","0.970996973337496","426.192307692308","0.706141316310808","0.329320987538436","16.6153846153846","0.0404295641187618","1890201.26","Inf","0.712176712176712","0.915824915824916","0.0290030266625037","0.0579695658597328","1977554","188","0.637037037037037","0","16.8941176470588","0","2109000","0.972619221748222","424.962962962963","0.71901230543558","0.344274587302352","7.73076923076923","0.0186802973977695","2051253.938667","Inf","0.720480156785889","0.915701415701416","0.0273807782517781","0.0555846565574081"
"SF Routing - 80","1903268","11","0.875","0","16.8571428571429","0","139500","0.973411715276042","248","0.685752330226365","0.283727300434812","0","0","133985.445333","Inf","0.695364238410596","0.981132075471698","0.0265882847239583","0.0353397610724849","1978122.5","12","0.869747899159664","0","19.6","0","154500","0.967365131532084","296.166666666667","0.674697526033829","0.280177391845228","0","0","149901.0653335","Inf","0.674697526033829","0.942871587462083","0.0326348684679158","0.0313644942822249"
"SF Routing - 45","1905284","28","0.916666666666667","0","14.5714285714286","0","328500","0.967825616161616","348.4","0.73795343800758","0.305557090401298","51","0.157213316892725","318503.122667","Inf","0.73795343800758","0.987179487179487","0.0321743838383838","0.0476160032732806","1972046.5","40","0.988888888888889","0","13.0719696969697","0","389250","0.968072104031046","335.821428571429","0.748728110011808","0.327328108062724","46.25","0.143189112484643","376951.7646665","Inf","0.751430192490684","0.998168498168498","0.0319278959689542","0.0619859800187669"
"All Priority Routing","1904769","127","0.9375","0","11.1818181818182","0","1493100","0.97846419035427","415.909090909091","0.724968969797269","0.330203046709676","49.9090909090909","0.113570541994208","1450993.489227","Inf","0.746035125066525","0.991898734177215","0.0233746418090727","0.0133122353798274","1979142","129","0.9375","0","11.6976744186047","0","1046700","0.977693257892782","381.4375","0.721343873517787","0.335327634650493","27.5","0.0793135435992579","1004609.99424","Inf","0.739786096256684","0.985569985569986","0.0226130794612292","0.0138039106586721"
"EOD Routing","1893026","9","1","0","20.1111111111111","0","103500","0.967108431565217","258","0.64922480620155","0.265665782053956","0","0","100095.722667","0","0.64922480620155","1","0.0328915684347826","0.119471947194719","1973971","17.5","1","0","17.9722222222222","0","179250","0.967465691744066","328.166666666667","0.671852004719439","0.307611920610058","0","0","173446.986667","0","0.68388050017885","1","0.032534308255934","0.0722756768852092"
"PA - Del Co / Phila / Allentown / Pocono","1902772","137","0.797752808988764","0","13.9718309859155","0","1779000","0.980979111757885","348.041666666667","0.745854955068979","0.38482020897126","5.09523809523809","0.0135425895456271","1751995.568","Inf","0.757249479995106","0.912171507607192","0.0190208882421155","0.0481430243955194","1968321","154","0.747572815533981","0","13.8364779874214","0","1789500","0.975271903942473","358.125","0.761251558780184","0.39347002979587","2.91666666666667","0.00814426992437464","1747369.509333","Inf","0.761942584817883","0.926756352765321","0.0247280960575269","0.0792991204377034"
"NY - Syracuse / Rochester","1902783","73","0.891089108910891","0","17.8888888888889","0","738000","0.968730894308943","348.916666666667","0.691928671984984","0.322963331067864","0","0","714923.4","Inf","0.693625118934348","0.958932238193018","0.0312691056910569","0.0646222750678975","1977542","90","0.810810810810811","0","17.19","0","748500","0.96035972723586","369.666666666667","0.68625555770346","0.335442255606827","0","0","719736.330667","Inf","0.697172034564022","0.947008547008547","0.0396402727641396","0.0612631315553017"
"PA - Erie / Pittsburgh","1902940","92","0.867549668874172","0","15.0978260869565","0","1506000","0.981946442673971","363.933333333333","0.693676312968918","0.346943208135213","25.7692307692308","0.0609645131938126","1478811.342667","Inf","0.731697894533514","0.910216718266254","0.0180535573260292","0.0560995595470954","1953291","99","0.876106194690266","0","15.7575757575758","0","1650000","0.982133366464849","375.333333333333","0.701065719360568","0.320547405812925","28.3333333333333","0.0754884547069272","1620520.054667","Inf","0.71672416923915","0.941780821917808","0.0178666335351515","0.27708703374778"
