"Routing_plan","FRRR_id_rgt","FRRR_AA","FRRR_AAs","FRRR_OvC","FRRR_TrC","FRRR_SlC","FRRR_RP","FRRR_AL","FRRR_WT","FRRR_RD","FRRR_RCD","FRRR_Ovt","FRRR_OvWt","FRRR_RV","FRRR_SNA","FRRR_RAA","FRRR_RSAA","FRRR_RSLA","FRRR_TRAS","SRRR_id_rgt","SRRR_AA","SRRR_AAs","SRRR_OvC","SRRR_TrC","SRRR_SlC","SRRR_RP","SRRR_AL","SRRR_WT","SRRR_RD","SRRR_RCD","SRRR_Ovt","SRRR_OvWt","SRRR_RV","SRRR_SNA","SRRR_RAA","SRRR_RSAA","SRRR_RSLA","SRRR_TRAS"
"All prioirity routing","81818498","6242","33.5060442722579","3.67300593548675","666.17817459862","0","44960100","40.7967022612729","16620.0418629741","29.2328064792927","14.3570699391407","851.194495608986","2.09939821372188","42876038.12427","Inf","31.1815436354199","37.4712255392535","2.22706751524509","0.259002852722465","81124178","6034","33.3050603783532","17.6687817142078","649.774200871253","0","42643800","38.8657385216224","15561.2137403795","27.1524264143096","13.5088214946976","658.328293617325","1.57962789199811","40581863.409866","Inf","29.5496749834068","37.1936715673104","2.216953885607","0.257955619730818"
"PA - Chester / Lanc / York","9518395","520","2.92422940893529","0.0102040816326531","93.6356187808906","0","5799000","4.8406174520278","2244.47399267399","3.3852751419405","1.49939122606114","144.535531135531","0.322376608931937","5614205.290666","Inf","3.43152195374472","4.40594939856852","0.159383364965662","0.309551141803051","9886685","467","2.35927714862067","0.344594594594595","92.5066949689354","0","5464500","4.84890628542205","2284.7978021978","3.3633329302992","1.46243415549625","285.744322344322","0.607865635414321","5297275.664001","Inf","3.44882653490965","4.02589609104757","0.151122098836333","0.302675688232686"
"Priority 5 and 6 only","9514266","1905","3.85383393693795","0.406182879135887","79.958492310409","0","25443000","4.84106916604065","1879.6392839187","3.49669348187726","1.68996919703221","71.2148064353947","0.185021024842785","24632029.470401","Inf","3.57140822514603","4.3206353692474","0.160833191205337","0.280119612302423","9888516","1786","4.78228323116148","2.32736219477887","81.2975200836718","0","28365000","4.86636596077428","2056.49567474352","3.25985554974101","1.55798943328684","185.17918017487","0.448757361019607","27610132.234133","Inf","3.55880281290894","4.84513436692672","0.146742609532744","0.263344819916074"
"Mass","9513830","102","3.176380742913","0","95.3642857142857","0","1029000","4.81374369707582","1936.5","3.20724618930327","1.39837773133185","146","0.412965599633412","991445.879999","Inf","3.36598381358878","4.24207664614146","0.186256302924183","0.310353730957914","7934234","104","3.22103448275862","0","71.4574074074074","0","1050000","3.86461182348239","1502.25","2.75387776477627","1.23717757448205","0","0","1015761.866666","Inf","2.76164848013919","3.84586854475099","0.13538817651761","0.308370777167582"
"NY - Albany / SE NY","9513648","415","4.49096714774959","20.0459770114943","93.7016819293056","0","6495000","4.89579924797699","2053.53095238095","3.44245410626929","1.54813510169942","113.826923076923","0.269752630108754","6357834.042667","Inf","3.46037383391927","4.73273528848473","0.269665647658686","0.306541872530999","9887677","380","4.49215182927091","0","97.4614723014113","0","5997000","4.89802510802773","1829.51103112574","3.35485493905386","1.48260911884463","15","0.0428015564202335","5873649.066667","Inf","3.40245794886765","4.64227178784713","0.101974891972274","0.31497667668285"
"NY - Buffalo","9513765","192","3.66520021964499","0","92.4243397870999","0","1734000","4.80665479258886","2005.2","3.39868610832354","1.55397071503286","3.66666666666667","0.00913438010490691","1667893.770666","Inf","3.41148140690933","4.6422626108574","0.193345207411135","0.316277678037103","9887894","199","3.71320387129211","0","87.9055239449976","0","1626000","4.79077676248751","2111.3","3.46900919119144","1.60118582917398","0","0","1560951.706668","Inf","3.46900919119144","4.60790152453635","0.209223237512495","0.305956835441039"
"PA - Central PA / Montages","9513641","326","3.67359731596373","2.77333333333333","100.676793987231","0","4654500","4.86896052421535","1647.2214035964","3.34104704782238","1.39463975673373","24.5714285714286","0.0683353198251887","4530295.158666","Inf","3.34319987272786","4.44119784209675","0.13124161378271","0.33264831817635","9889830","428","3.41710525783616","34.3336748952026","111.042150426705","0","5572500","4.83293840502399","1862.02976190476","3.26887853580282","1.28280352019091","111.294642857143","0.268191485141594","5384625.474667","Inf","3.27559102433024","4.52134365337082","0.417402306786315","0.344876143225679"
"NY - Nassau / Suffolk","9513861","493","4.84435022996408","0.794871794871795","62.2364217718281","0","8055000","4.91962170280804","1943.75555555556","3.85589341195159","1.95260990700629","108.816666666667","0.282403059098811","7924963.898667","Inf","3.89214916122314","4.91448730992678","0.0862830590967203","0.219120488401605","9887594","612","3.98500141602945","0.00662251655629139","58.3349268830705","0","7644000","4.90273687076468","1972.36507936508","3.94488615130817","2.19633319558165","35.7058823529412","0.0897767341064261","7495529.013333","Inf","3.95108052437369","4.75928467193716","0.0972637130064781","0.209621110724561"
"CT  RI ","9514113","319","3.95963574667005","0","69.1366308032811","0","2937000","4.84692460906489","1804.08585858586","3.746841610134","1.9352830023179","32.8","0.0815717483213131","2846890.354667","Inf","3.75178671819914","4.59911682769124","0.153075390935107","0.249309507879141","9887631","301","2.78728410472128","0","76.8538263082451","0","3006000","4.84048745166335","1911.16507936508","3.57840370069106","1.68539156180465","125.531746031746","0.509558915725825","2910249.190668","Inf","3.64912980001375","4.18359787781157","0.159512548336649","0.271240679249922"
"VT NH ME","9513821","260","4.20366328499969","0","99.257108925465","0","2856000","4.83088553460822","1499.75454545455","3.31498599513514","1.41591124035298","7.78181818181818","0.0275532912920746","2759415.953333","Inf","3.35736756149342","4.64416870344853","0.169114465391777","0.325453255987343","11877380","283","4.95006239144203","0","128.252191035612","0","3096000","5.78992044119957","1939.54444444444","3.90401777138454","1.6665605803366","7.875","0.0228437610463061","2988074.581334","Inf","3.93836458938003","5.54077651736371","0.210079558800435","0.339531333245493"
"NY - Metro","9513782","367","3.57629923638216","8.04876530345052","60.0059278032906","0","5940000","4.90357182951188","1958.98412698413","3.95037338012636","1.82291240238488","136.835714285714","0.317500892515804","5824201.836","Inf","4.00064480438052","3.99361369582989","0.1241899070934","0.199778391780644","9887603","448","2.72817401792094","2.86232871526989","58.4041072474509","0","6400500","4.89831222836172","2040.93864468864","3.9501692068048","1.94130448311191","80.9661172161172","0.193438148253904","6270070.829333","Inf","4.00020936151981","4.05711245770023","0.103745117270536","0.198496884962344"
"NJ","9513745","846","2.98830586848512","0.271558949525051","90.0599299619251","0","9912000","4.85573959147322","2109.19693732194","3.54187326487337","1.64681608098904","70.1201437451437","0.166100187663863","9626816.372","Inf","3.553579805008","4.42844163308867","0.144282860853441","0.288565474077641","9887364","918","3.26749652780566","0.295","85.1775985970836","0","10372500","4.85866225897006","2133.95911680912","3.57680780941065","1.72473679348185","41.447496947497","0.0958379068326231","10080242.118667","Inf","3.60316333530012","4.63647104381111","0.141365977450134","0.277191165812539"
"SF Routing - 80","17115295","90","7.5045782906464","0","138.084815184815","0","1249500","8.76657106820206","2169.41666666667","6.63257606191891","3.15599775391833","24.75","0.12037802750347","1216012.433332","Inf","6.67694968643754","8.64423374615186","0.233428931797942","0.254023739100373","19778855","120","8.45757469654528","0","193.755856398503","0","1437000","9.6659890200883","3002.33333333333","6.60099580277684","2.83387690002386","67","0.174494414310859","1389021.338667","Inf","6.81734471494896","9.26636021047078","0.334010979911699","0.307483068724326"
"SF Routing - 45","9517230","146","4.57664345063539","1.14285714285714","68.576455026455","0","1567500","4.83137693626444","1675.90714285714","3.63843136377727","1.48305667513547","369.928571428571","1.06794615806383","1515641.552","Inf","3.73887149641328","4.91252840185511","0.171459943168184","0.244102341162782","7887462","154","3.80796645702306","0","52.2363636363636","0","1500000","3.87008139348809","1294.07142857143","2.95964100982583","1.30362799161799","193.214285714286","0.606012277106147","1450977.785333","Inf","3.01543407475575","3.87291927481801","0.129918606511911","0.243730566134938"
"All Priority Routing","36162645","1739","17.6121389810418","10.6975144494898","212.449518527482","0","24142200","18.5777133853366","7436.76754318952","13.4982285338333","6.57858710109605","829.790043290043","2.03488278038186","23610215.536906","Inf","14.214690354107","18.6572472198126","0.443307665732855","0.235341737463644","33584242","1521","15.8021414765627","0.813141883691243","187.359442716836","0","20235900","16.6200911394282","6443.9985995199","12.1314428799072","6.09927341462536","561.209962245768","1.46522514102866","19787186.753599","Inf","12.7942746557367","16.4522482625323","0.381274715402363","0.230658869142141"
"EOD Routing","5678634","27","3","0","56.6666666666667","0","297000","2.89941976168164","757.5","1.99558599218538","0.840601642088373","0","0","287126.509334","0","1.99558599218538","3","0.100580238318357","0.336633663366337","7895086","69","4","0","70.656862745098","0","700500","3.86812260764032","1489.66666666667","2.72592053336318","1.23920036769915","90","0.170777988614801","677672.693334","0","2.75241669053063","4","0.131877392359676","0.309353322891027"
"PA - Del Co / Phila / Allentown / Pocono","9515580","642","4.06984954769489","2.52380952380952","69.5753469625911","0","9129000","4.90080763014754","1717.10580514257","3.75014575868554","1.89593776624908","40.9413919413919","0.114555520353305","8946971.013333","Inf","3.77401963954756","4.59873695383602","0.114405915467825","0.243995003757043","5922984","460","2.22629374576654","0","41.4802627740633","0","5320500","2.92645675184623","1082.925","2.28181431703432","1.19104198660745","12.0366666666667","0.0329893690295063","5190145.757333","Inf","2.28483499753756","2.7025632909252","0.073543248153765","0.238054343560265"
