"Routing_plan","FN","FRRR","SRRR","SN"
"Others","105","0.7032","0.6981","66"
"150 /unl/150/20","6","0.8974","0.8756","8"
"Min/unl/120/0","11","0.859","0.8414","11"
"30 /15/60/0","7","0.5691","0.5713","13"
"30/ 10/60/7","6","0.3351","0.4294","8"
"80/60/120/40","12","0.7431","0.7375","14"
"AM Min/unl/30/15 (1 activity)","5","0.8503","0.8048","10"
"90/40/120/40","12","0.6942","0.6653","10"
"45/ 30/100/10","4","0.6193","0.6754","3"
"75 /20/60/15","7","0.6172","0.5859","9"
"60 /30/120/15","4","0.6445","0.6629","5"
"40/40/90/10","7","0.689","0.6713","10"
"90 unl/120/20","6","0.686","0.8327","6"
"150 /unl/80/30","4","0.8592","0.8159","8"
"150/unl/125/10","5","0.7598","0.7635","6"
"50/30/120/30","12","0.6782","0.6482","11"
"100/unl/120/0","3","0.7558","0.6799","6"
"45/25/120/20","11","0.5167","0.5463","14"
"25/15/ 75/0","5","0.2435","0.2901","6"
"Min/60/120/7D","36","0.691","0.5851","33"
"Top-2 60/30/90/0","6","0.6","0.5106","5"
"Top-1 30/15/50/0","9","0.4001","0.4073","8"
"60/20/90/0","4","0.6676","0.6746","7"
"35/20/60/7","5","0.5302","0.6003","7"
"*SUB* Run Second 25/10/90/10","9","0.748","0.7648","3"
"*SUB* Run Third 35/10/90/0","10","0.8483","0.798","4"
"90/30/120/0","3","0.8159","0.702","1"
"90/20/90/10","42","0.7786","0.7429","51"
"75/20/90/10","36","0.7508","0.7167","53"
"Run First 25/5/60/10","37","0.4962","0.4387","44"
"*SUB* Run First 15/30/30/10","9","0.7786","0.7558","5"
"Run Third 45/10/90/0","30","0.7182","0.6502","46"
"Run Second 35/10/90/10","41","0.644","0.5599","63"
"Run First 25/5/50/10","10","0.5636","0.4973","13"
"SWEEPER min/unl/200/0","27","0.8257","0.7604","35"
"Min/30/90/0","2","0.7644","0.7139","2"
"60/15/80/0","3","0.658","0.7481","4"
"SWEEPER Min/unl/200/0","10","0.7307","0.7078","9"
"Akron Duration 75/20/90/0","7","0.2933","0.305","8"
"Cleveland Duration 75/20/90/0","5","0.4995","0.6065","6"
"Toledo Duration 75/20/90/0","7","0.5917","0.5452","13"
"Run Second 25/10/90/10","7","0.7081","0.684","3"
"120/30/120/0","3","0.7991","0.6897","9"
"Caldwell Duration 75/20/90/0","6","0.2099","0.5099","8"
"Run First 15/30/30/10","8","0.3644","0.7759","5"
"Run Second 35/10/90/30","9","0.3881","0.4321","13"
