"Routing_plan","FRRR_id_rgt","FRRR_AA","FRRR_AAs","FRRR_OvC","FRRR_TrC","FRRR_SlC","FRRR_RP","FRRR_AL","FRRR_WT","FRRR_RD","FRRR_RCD","FRRR_Ovt","FRRR_OvWt","FRRR_RV","FRRR_SNA","FRRR_RAA","FRRR_RSAA","FRRR_RSLA","FRRR_TRAS","SRRR_id_rgt","SRRR_AA","SRRR_AAs","SRRR_OvC","SRRR_TrC","SRRR_SlC","SRRR_RP","SRRR_AL","SRRR_WT","SRRR_RD","SRRR_RCD","SRRR_Ovt","SRRR_OvWt","SRRR_RV","SRRR_SNA","SRRR_RAA","SRRR_RSAA","SRRR_RSLA","SRRR_TRAS"
"150 /unl/150/20","1880772","83.5","1","0","26.7303321678322","0","1215000","0.961829116778271","516.498327759197","0.690465049102887","0.130563633063964","11.6460113960114","0.0218732347611746","1167763.1325835","0","0.801408880099775","1","0.0384529065113938","0.0286692309178066","1974126","78.5","1","0","26.0822021116139","0","1110000","0.962705689649583","529.521739130435","0.672873549320216","0.12125285677412","10.1006493506494","0.0199245993386408","1069610.6521665","0","0.79101985337741","1","0.0374623211031052","0.0242747368440704"
"Min/unl/120/0","1893327","113","1","1.10909090909091","31.3030303030303","0","1599000","0.955940923435774","559.818181818182","0.706171284634761","0.110301251813838","25.125","0.0439049856434351","1530568.954333","0","0.758508047751975","1","0.0470107186203916","0.020481560435823","1968077","101","1","0.238532110091743","30.3119266055046","0","1380000","0.957973545410628","570.791666666667","0.68963679957375","0.114220005583515","21.8947368421053","0.0369416570464435","1320831.333333","0","0.770555907841894","1","0.0426182420289855","0.0196978031471936"
"30 /15/60/0","1880362","68","0.894736842105263","0.315789473684211","21.1324503311258","0","457500","0.919411698829574","503.052631578947","0.721476510067114","0.148872348907393","4.17647058823529","0.00879474792518271","420352.247167","Inf","0.822928805282726","0.905044510385757","0.0805883011704261","0.024963403379485","1968090","70","0.881481481481482","0.0142857142857143","23.1008403361345","0","433500","0.922886839980057","503.466666666667","0.722158961512184","0.135692217085482","5.6","0.0105800113357264","396250.06","Inf","0.805391345471743","0.857391304347826","0.0776641418047882","0.0127239216415093"
"30/ 10/60/7","1880899.5","61.5","0.670495198644323","0.0616438356164384","25.3257226644323","0","459750","0.936128542275785","504.308333333333","0.628993631387644","0.125987093603996","2.24107142857143","0.00440105567012449","431131.5418335","Inf","0.803071558682247","0.699241952232606","0.0648717139284228","0.0265929986245878","1961971.5","74.5","0.751582535302711","0.0872972972972973","28.5204761904762","0","525750","0.923857388106139","511.632142857143","0.670872197162794","0.110738633990257","6.93181818181818","0.0132369601633041","488255.498667","Inf","0.776850102779171","0.7575237022435","0.0774154237143735","0.0233316126237642"
"80/60/120/40","1880485","106.5","0.991303690260133","0.419827152206746","28.8557307307307","0","1543500","0.96850178212697","561.199425287356","0.699517851286355","0.11113736642114","21.9895238095238","0.0403667344999358","1491195.3793335","Inf","0.778454262914473","0.990983545274874","0.0333815187163011","0.0168311935259256","1968110","105.5","0.991575221238938","0.191477768090671","29.4808001070377","0","1542000","0.96808547091059","569.476811594203","0.687856621681088","0.103516457055835","23.132625994695","0.0426959952937025","1494535.238833","Inf","0.767676327904687","0.991390319106014","0.0330109411020577","0.0150165208412867"
"AM Min/unl/30/15 (1 activity)","1868329","83","1","0","29.7628865979381","0","511500","0.904741791495199","535.666666666667","0.712196639701307","0.132270049519871","3.26923076923077","0.00597675705589375","472851.454167","0","0.79782196969697","1","0.0952582085048011","0.0376304218124187","1974131","84.5","1","0","26.2303863002788","0","563250","0.919492134749395","540.42803030303","0.698336516238653","0.122824189767115","1.81424148606811","0.00335914153994792","523805.6585835","0","0.774156576924543","1","0.0805078652506054","0.0202042857913505"
"90/40/120/40","1893279.5","97","0.989761267750566","0.400308551278284","32.4448137377095","0","1434750","0.965418960558617","542.548148148148","0.669301911535651","0.0887153653872532","28.479091995221","0.0528401245171096","1382337.7473335","Inf","0.73913598633118","0.989537295738991","0.0351346639673865","0.019453950317835","1974112","102.5","0.984941123188406","0.374933155080214","33.1179245283019","0","1517250","0.966542285926159","558.126642771804","0.64893305617439","0.0851536982336764","22.5092864125122","0.0419924389156519","1463004.41","Inf","0.725060475219238","0.984715037979403","0.0347466697709152","0.0243665788993686"
"45/ 30/100/10","1874294","61","0.924317062248097","1.75133689839572","27.7589285714286","0","431250","0.917213289285714","548.316666666667","0.663142126641727","0.11988095559392","16.6345029239766","0.0298085760654056","391312.3516665","Inf","0.777624360227089","0.931864141924809","0.0987545523964131","0.0457869974593573","1991521","58","0.96551724137931","0.362068965517241","29.5714285714286","0","406500","0.909016990260292","520.411764705882","0.67299649598734","0.119278578145874","22.8947368421053","0.0414246262260737","368134.307833","Inf","0.782391590013141","0.969111969111969","0.0949006724223108","0.0635254355461665"
"75 /20/60/15","1880558","93","0.933333333333333","0.231707317073171","30.4144144144144","0","553500","0.914134218608853","578.034482758621","0.675237129392114","0.103686129616944","7.13636363636364","0.0124563630593462","505973.29","Inf","0.770261993875468","0.932367149758454","0.0865144869691358","0.0290966665961244","1980160","89","0.968253968253968","0.26027397260274","32.3867924528302","0","516000","0.9108443232331","562.481481481482","0.670054499926351","0.0958203353356093","8.37037037037037","0.0147327249022164","469126.462333","Inf","0.751884585391214","0.967479674796748","0.0902629028741259","0.0235033253649338"
"60 /30/120/15","1874288.5","83.5","0.97671937751004","0.677011494252874","28.7480603448276","0","557250","0.91194313664849","565.424242424242","0.682494794787979","0.113696517928358","16.8049242424242","0.0310290864671439","509580.1744165","Inf","0.770529519607977","0.97976799360969","0.0908058392859703","0.050433492054072","1980139","73","0.973333333333333","0.89041095890411","28.4634146341463","0","484500","0.914658432138979","569.368421052632","0.682176520994002","0.116856202300907","16.3157894736842","0.0286559437973747","443395.066667","Inf","0.773288003885381","0.974603174603175","0.0891221105591398","0.039828840253846"
"40/40/90/10","1880495","81","0.975","0.135802469135802","24.5","0","517500","0.917525428104575","504.434782608696","0.686864333735563","0.141264712769623","8.96153846153846","0.0179992275009656","475645.068","Inf","0.820555007129538","0.96100278551532","0.0838634607843137","0.0221306654336604","1985889.5","89","0.973705408515535","0.0111111111111111","23.9310239491691","0","615000","0.926352168321048","514.029220779221","0.676999056968236","0.129478479109507","6.31465517241379","0.0117626740005258","566412.4464165","Inf","0.792469255016318","0.976015334850845","0.0738737352934099","0.017885962027622"
"90 unl/120/20","1886798.5","61.5","0.984561403508772","0.697948328267477","31.1871794871795","0","792750","0.951687544407547","568.754901960784","0.677888068657694","0.109495351393555","22.0822368421053","0.0386611634476611","749296.8641665","Inf","0.759869589326935","0.99113211359712","0.0520507470483792","0.035382877360869","1985854.5","60.5","1","0","31.2820512820513","0","805500","0.95085629604776","517.202380952381","0.651724021356653","0.110598117431426","14.7222222222222","0.0274851293067691","764715.6958335","0","0.765526833319211","1","0.049290842307325","0.0322413516188029"
"150 /unl/80/30","1877797.5","91.5","1","0.213423380349032","35.9463901506096","0","1359000","0.961252401813191","588.727330779055","0.680873114758885","0.0986817134077646","10.3080808080808","0.0173664182534431","1306337.907417","0","0.759157474161203","1","0.0391065922316719","0.0535541054753337","1974153","91.5","1","0.281009957325747","34.9666666666667","0","1326750","0.96314003519954","557.409663865546","0.668872052298366","0.0912734904887429","7.92857142857143","0.0147049144887151","1277431.019333","0","0.744056238292545","1","0.0375343791791564","0.0285975442553625"
"150/unl/125/10","1868437","152","0.993710691823899","1.4954954954955","27.4473684210526","0","1618500","0.952206120613604","582.791666666667","0.75056701886375","0.114078334643848","24.5161290322581","0.0415385715307071","1537034.4725","Inf","0.771084337349398","0.999136442141623","0.0518546555269375","0.0448834046283213","1979822.5","108","0.980582524271845","0.852289596893913","25.3321568627451","0","1155000","0.95018595168358","579.854895104895","0.770107125433459","0.125975778444783","22.4387351778656","0.0391073694591753","1099154.9928335","Inf","0.79293294387977","0.99711154263063","0.0527557105543456","0.0330620996136492"
"50/30/120/30","1886940","97","0.925438596491228","0.403231832617224","26.5133004926108","0","1394250","0.970085865223904","573.308080808081","0.695991982676409","0.118167894642863","21.8094405594406","0.0366784880494959","1349698.791667","Inf","0.78915782852572","0.923196603992946","0.0305499089134685","0.0158510945632033","1968141","100","0.910891089108911","0.158333333333333","26.544","0","1419000","0.971026922222464","558.6875","0.684951816160119","0.106284448190387","23.0869565217391","0.0428191274897186","1375767.918333","Inf","0.778784093275036","0.910793933987511","0.0304665832748414","0.0189328688037638"
"100/unl/120/0","1868378","156","0.994413407821229","0.384615384615385","25.5280898876404","0","1293000","0.960120785159285","749.653846153846","0.617197235753937","0.114069973473415","41.1923076923077","0.0549484377404956","1235675.4505","Inf","0.751707485339772","0.988532110091743","0.041044716006216","0.0769904298309736","1969218","137","0.993768926158863","1.44299869882895","24.5214074654767","0","1143750","0.959061289152699","766.245833333333","0.570543010368013","0.104147525653842","83.7458333333333","0.10917312155332","1087613.0368335","Inf","0.727841614485243","0.988681087230575","0.0458952009320408","0.0356843446675161"
"45/25/120/20","1880391","81","0.898989898989899","0.246913580246914","27.9473684210526","0","580500","0.917179032015066","516","0.658929042469006","0.109713860480307","18","0.0329408020369192","530499.348833","Inf","0.766208724993974","0.900826446280992","0.0857539240689655","0.0193195006174416","1974155","84.5","0.918393015685114","0.357961504811899","29.0928823041857","0","575250","0.91848669696108","520.346739130435","0.650395771552848","0.102730578125603","18.4096880131363","0.0358285334204298","524109.68525","Inf","0.751833374865567","0.926538046411225","0.0841828133531675","0.0158690402734171"
"25/15/ 75/0","1893258","39","0.613333333333333","1.14285714285714","28.195652173913","0","274500","0.914002297551789","507.666666666667","0.634045555331586","0.117646049802101","4.86666666666667","0.00958634274458306","254303.692167","Inf","0.785973597359736","0.590214067278288","0.100392372480138","0.0321581229776336","1985806.5","38","0.650058445353594","0.217391304347826","27.4428571428571","0","252750","0.912695449467535","457.944444444444","0.632111446024482","0.126115471551329","7.02232142857143","0.0156691980309963","228209.9069165","Inf","0.797239659923548","0.642857142857143","0.0888935267059375","0.0289252685532131"
"Min/60/120/7D","1881746.5","24.5","1","0.801742919389978","40.4343137254902","0","199500","0.919670300457025","695.714285714286","0.520636906904431","0.0632259021678933","92.125","0.128533164619722","179874.039917","0","0.631823436295374","1","0.080746970074376","0.00808058550960041","1964795","12","1","1.58333333333333","42.4285714285714","0","126000","0.919738758576132","672.769230769231","0.464104423495286","0.0533651116473898","74","0.109993139721015","120825.7365","0","0.582296650717703","1","0.090118106754902","0.00991912517874681"
"Top-2 60/30/90/0","1877196","37","0.927055702917772","0","27.3650793650794","0","256500","0.936281444736796","499.605128205128","0.648461792101881","0.117590629220625","8.33333333333333","0.0152576826933863","239059.4515835","Inf","0.803006621477835","0.896913736402732","0.0637185552632042","0.0265654128587172","1971038","31","0.928571428571429","0","30.1142857142857","0","219000","0.919996962060976","456.285714285714","0.587565963060686","0.0902003147160063","3","0.00786988457502623","204405.138167","Inf","0.746632605666512","0.932203389830508","0.0800030379390244","0.0364942893790719"
"Top-1 30/15/50/0","1892593","28","0.655172413793103","0","18.6315789473684","0","177000","0.954023133840909","466.857142857143","0.645868784269238","0.153050627871782","5.2","0.0104361787530104","169279.844667","Inf","0.848144276006273","0.656716417910448","0.0459768661590909","0.0113777898075939","1964631","21","0.704861111111111","0","18.7727272727273","0","155250","0.943982027254135","397.910714285714","0.591287767296147","0.132235841205379","0","0","144308.3431665","Inf","0.832038154941568","0.678571428571429","0.0560179727458652","0.0156779608625005"
"60/20/90/0","1878239.5","127.5","0.958760216415333","3.03573124406458","25.6329153605016","0","834750","0.921064996035107","768.192307692308","0.543583691311674","0.101268126131568","84.7145748987854","0.111284991370989","782249.182167","Inf","0.722453679862705","0.927857716802571","0.0974612569481869","0.0527059352602844","1969613","145","1","1.60989010989011","25.4635761589404","0","1176000","0.953778505952381","768.347826086957","0.526029877772748","0.0951972506022781","94.7727272727273","0.119518486672399","1121643.523","0","0.716289104638619","1","0.0495165620748299","0.0325336117366971"
"35/20/60/7","1868430","152","0.888888888888889","1.27631578947368","21.8815789473684","0","1132500","0.963128352852638","747.322580645161","0.479898490717243","0.11715381844604","51.28","0.068402518407854","1094915.748167","Inf","0.75985734099465","0.795037756202805","0.0414214669119705","0.0287901665196587","1991700","170","0.955882352941177","0.523076923076923","21.7577639751553","0","1351500","0.963457057601637","745.333333333333","0.523515124751601","0.110411934502159","53.4090909090909","0.0715181932245922","1301182.783667","Inf","0.752339812814975","0.924337957124842","0.0422464317257019","0.0248107041639495"
"*SUB* Run Second 25/10/90/10","1869050","155","0.91812865497076","0.551470588235294","14.4926470588235","0","601500","0.912015054495913","674.928571428571","0.607630437083289","0.155655410716465","109.142857142857","0.161317567567568","549572.565","Inf","0.834584065144499","0.879569892473118","0.0913909400544959","0.0148878207448752","1929400","137","0.934782608695652","0.41958041958042","14.1627906976744","0","583500","0.917809033132819","656.619047619048","0.662354705661792","0.160804043093521","84.875","0.127296587926509","535541.570833","Inf","0.832092926201572","0.909774436090226","0.0847616609545844","0.0447282976255688"
"*SUB* Run Third 35/10/90/0","1874353","152","0.945573704375882","0.481256766510285","15.071223316913","0","1449750","0.958988971032586","674.535714285714","0.66527482465677","0.147078078030715","108.670454545455","0.162339701918113","1387928.680417","Inf","0.834475169956689","0.91346960602624","0.0423831612573931","0.0134127601248877","1940344","125.5","0.926037920889179","0.492577095036111","15.5445101029356","0","1272000","0.963178647085735","661.47619047619","0.651650193500996","0.151833048155859","88.4851190476191","0.133776657151303","1225509.5670835","Inf","0.824881108618038","0.88864006514658","0.0381692366249721","0.0356131417251145"
"90/30/120/0","1863482","159","1","1.47647058823529","27.7602739726027","0","1372500","0.958641529322276","757","0.564005893569076","0.107539633933891","58.6","0.0774108322324967","1324885.647667","0","0.727582737030411","1","0.0454397714907317","0.0673891154590037","1981417","185","0.994623655913978","0.789189189189189","22.8054054054054","0","1438500","0.958653948093848","738.818181818182","0.507936507936508","0.110189781096879","46.0909090909091","0.0623846437799926","1379023.704333","Inf","0.745889297114979","0.989680082559339","0.0438834172172402","0.173044583897297"
"90/20/90/10","1880457.5","133","0.978620794410268","0.599358974358974","21.9844520789288","0","1193250","0.951531711475766","672.211428571429","0.659515483888754","0.117438076664317","85.6372549019608","0.127000797022747","1138799.1708335","Inf","0.769349975388534","0.966086267699503","0.0544573611822548","0.0045141001523923","1979188","107","0.984615384615385","1.16025641025641","23.8","0","1015500","0.948754131944941","660","0.639977349943375","0.107398905133731","72.6842105263158","0.109311740890688","970777.186667","Inf","0.756345469162743","0.978494623655914","0.054472455160028","0.00380348362178631"
"75/20/90/10","1880427.5","126.5","0.975304878048781","0.799495586380832","22.0664335664336","0","1153500","0.950138324853781","684.492424242424","0.653427233554765","0.116152197400461","83.125","0.124023283826163","1097867.9608335","Inf","0.771071344527119","0.960763732693557","0.0542053045956241","0.00509836529193993","1967924","106","0.979310344827586","0.882352941176471","22.0441176470588","0","985500","0.952113913367178","668.25","0.632650516010351","0.111610628191115","65.5833333333333","0.0978260869565217","941911.42","Inf","0.768628534585981","0.96742671009772","0.0513920916955458","0.0035104951765979"
"Run First 25/5/60/10","1880420","120","0.827272727272727","2.57142857142857","17.7111111111111","0","507000","0.898131224806202","675.166666666667","0.521486341637704","0.117475024872632","61.7272727272727","0.0919093851132686","455647.195","Inf","0.789674952198853","0.753246753246753","0.122680861538462","0.00359923620460491","1973943.5","93","0.825629367685442","1.1930458342741","18.2505050505051","0","388500","0.896354522767688","643.511764705882","0.436103587415065","0.112563041133652","52.3059210526316","0.0812633921974287","354520.0166665","Inf","0.794015465213188","0.731158367454762","0.116552995971856","0.00293436134767539"
"*SUB* Run First 15/30/30/10","1869070","136","0.935294117647059","0.483870967741935","14.4926470588235","0","550500","0.90705083394702","670.24","0.687405679791467","0.140630214470472","103.24","0.155782686239539","502064.2875","Inf","0.834423713754947","0.910386965376782","0.0965547584002943","0.0151895517165603","1943350","121","0.934782608695652","0.517241379310345","16.7520661157025","0","538500","0.912925892911792","665.428571428571","0.640945681340199","0.149434236810027","92.0952380952381","0.139988566528512","491610.593333","Inf","0.821367227756785","0.909774436090226","0.0898596224085422","0.0296727868924453"
"Run Third 45/10/90/0","1880866.5","129.5","0.94207693583765","2.26699256679837","19.8632572598377","0","1235250","0.952312949062994","663.878205128205","0.623817977090186","0.120947391777593","72.9927631578947","0.111214045211","1179456.4475","Inf","0.786611078174324","0.912718746187471","0.053335604139447","0.00547527555853169","1979953","110","0.948846519739971","0.82365466511808","19.2818918918919","0","951750","0.953647179323594","656.088157894737","0.554639292886111","0.11464536282323","61.8916666666667","0.0939639448236131","908746.165","Inf","0.783346101799243","0.908554674825013","0.0511108579445032","0.00350282558907371"
"Run Second 35/10/90/10","1880419","125","0.909774436090226","2.56687898089172","19.0867768595041","0","507000","0.897596841465572","665.166666666667","0.621922453191803","0.120894297552091","69","0.107091690544413","456091.846667","Inf","0.794666267136115","0.912568306010929","0.122537169389049","0.00380904638095597","1979910","104","0.914691943127962","1.01694915254237","18.8659793814433","0","415500","0.896583899868248","649.565217391304","0.518013926733273","0.113893325128325","60.875","0.0897524951559244","369167.055","Inf","0.784377808644497","0.878787878787879","0.117144567902357","0.00245167665954259"
"Run First 25/5/50/10","1862432","107","0.881851575503645","0.307692307692308","16.9551372273047","0","377250","0.880070239201695","639.983957219251","0.557087900583899","0.110570723095902","96.8181818181818","0.151647663033449","332029.060833","Inf","0.808436059547524","0.79580762164963","0.129477346610158","0.0126451671272223","1968693","98","0.957983193277311","0.157303370786517","17.9752066115702","0","354000","0.870006639699029","630.304347826087","0.405425367622373","0.0984632043103336","86.6666666666667","0.133424563804311","311074.32","Inf","0.776572285437064","0.939393939393939","0.131398926768939","0.0110403463360886"
"SWEEPER min/unl/200/0","1880426","131","0.990990990990991","0.83739837398374","22.7166666666667","0","1173000","0.952384643364876","673.9","0.667272044088176","0.12046737837979","80.4210526315789","0.117647058823529","1117147.186667","Inf","0.772015655577299","0.986111111111111","0.0536747896166025","0.00729361315362744","1955495","119","0.993103448275862","0.729166666666667","23.0344827586207","0","1125000","0.951467199391172","674.238095238095","0.659783913565426","0.113722638121326","65.725","0.0976729460186797","1058057.308333","Inf","0.766557209262655","0.988636363636364","0.0514363420806766","0.00578781429241558"
"Min/30/90/0","1885857","93","0.995049504950495","0.656976744186046","30.4839534883721","391.575","848325","0.954973859106835","752.633928571429","0.55753055735102","0.0899144753666196","81.3839285714286","0.108217498483621","810574.6953335","Inf","0.689622967521827","0.992712432590001","0.145527922550841","0.125535322379738","1967743","89","0.982142857142857","0.791714394807178","32.4319714903907","0","680250","0.93685408050343","754.685520361991","0.525262917790412","0.0782501807157567","91.8506787330317","0.121762386989246","637920.046833","Inf","0.671230009719914","0.964028776978417","0.0656143651336199","0.128512370679705"
"60/15/80/0","1868320","93","0.948979591836735","3.26315789473684","28.6666666666667","0","786750","0.949808655014935","757.692307692308","0.537049304438346","0.0790885024237204","147.692307692308","0.19492385786802","747261.959333","Inf","0.694554064719811","0.912967798085292","0.0693524508001271","0.0822438001391177","1969369.5","86","0.988095238095238","3.39470790378007","28.9475106864471","0","601500","0.935744204699354","766.220512820513","0.49995546832853","0.0779736523636935","138.538461538462","0.184738527506365","562833.5604165","Inf","0.68337394911522","0.974937343358396","0.0785356440010087","0.0584746838190847"
"SWEEPER Min/unl/200/0","1870043","156.5","0.990883062085594","2.01626889724503","24.9642025804735","0","1297500","0.95241684976849","768.413043478261","0.587289260107722","0.105232067692792","84.9347826086957","0.110531635660975","1240531.5243335","Inf","0.725781554492383","0.98648695054945","0.0606316347791388","0.022507648521978","1945211","158","0.993827160493827","1.00970873786408","24.2912621359223","0","1303500","0.957217041729713","756.791666666667","0.558318775048813","0.104724903506613","73.625","0.0970505849398583","1251259.130667","Inf","0.730170072888381","0.988998899889989","0.043448806698554","0.024245534799412"
