"Routing_plan","FRRR_id_rgt","FRRR_AA","FRRR_AAs","FRRR_OvC","FRRR_TrC","FRRR_SlC","FRRR_RP","FRRR_AL","FRRR_WT","FRRR_RD","FRRR_RCD","FRRR_Ovt","FRRR_OvWt","FRRR_RV","FRRR_SNA","FRRR_RAA","FRRR_RSAA","FRRR_RSLA","FRRR_TRAS","SRRR_id_rgt","SRRR_AA","SRRR_AAs","SRRR_OvC","SRRR_TrC","SRRR_SlC","SRRR_RP","SRRR_AL","SRRR_WT","SRRR_RD","SRRR_RCD","SRRR_Ovt","SRRR_OvWt","SRRR_RV","SRRR_SNA","SRRR_RAA","SRRR_RSAA","SRRR_RSLA","SRRR_TRAS"
"150 /unl/150/20","11299981","474","6","0.452117749347907","159.063159114407","0","6799500","5.76721837756284","3115.45639460971","4.14480035147277","0.785819564790324","68.6910722551455","0.131821717268609","6537000.593834","0","4.8013193942636","6","0.23357397951877","0.172245467710489","15777881","676","8","2.98093635632301","218.632715040443","0","9627000","7.68926123986256","4117.27026397516","5.39992742523147","0.951151671675439","90.6224943534726","0.174658301158919","9255244.8435","0","6.220289022001","8","0.315900695159062","0.195820403674115"
"Min/unl/120/0","20772742","1311","10.9850168900512","12.3046858793717","331.56184910179","0","17478000","10.5068710710654","6252.39585287808","7.84516225796459","1.19606426394361","277.164944315675","0.488197639129605","16694551.277998","Inf","8.38583943330832","10.981128226496","0.51714619742702","0.221398019558471","21647813","1153","10.967424629535","2.62694759412755","333.506699820298","0","15972000","10.5270978067364","6145.48894992862","7.59983497543046","1.21856352853199","214.062883155545","0.379645708391248","15285526.847833","Inf","8.36060688889591","10.9616781905543","0.477563990743478","0.219122931983987"
"30 /15/60/0","13209491","645","6.06334804423433","5.36167881654892","159.708754741814","0","3919500","6.46266021474188","3650.04906076646","5.01101946274137","0.961158622470205","69.6861685868976","0.121327125198502","3609276.521167","Inf","5.66851676237039","6.04959700230302","0.560011175599275","0.168909917385057","25628714","999","10.8796647485436","14.8268970885392","284.01416993699","0","5913000","12.0308357542634","6601.73823500817","9.25631075230704","1.79726058851454","106.655716276061","0.20388940617974","5470361.709498","Inf","10.488259583005","10.802497232868","1.03372088772862","0.171604754796637"
"30/ 10/60/7","11300413","384","3.96678304127629","2.43859531440937","151.986918660349","0","2713500","5.6226906894878","3003.14007936508","3.83770280281148","0.729132550883429","16.1910317460317","0.0315213773416871","2542383.755167","Inf","4.8047310977447","4.13699018545174","0.385897714066741","0.157989448345931","15747055","572","5.90027424954822","1.5152336194824","223.985079537146","0","3954000","7.38485170405045","4078.73306693307","5.31633603238101","0.871167168646784","52.5488927738928","0.103111445705018","3647886.417168","Inf","6.26811581770135","6.04016417686606","0.620659952433194","0.184772395501225"
"80/60/120/40","22587419","1183","11.8529799953339","9.56250695289527","344.491467798015","0","17151000","11.6183960863834","6737.39306909515","8.33157882667015","1.32013816605249","289.459836552588","0.509028302245685","16602785.009834","Inf","9.32465187523584","11.8470599814868","0.39802680530128","0.199898202127361","27640242","1391","13.8654102232858","5.84288749992356","408.173909720021","0","20365500","13.5520774093944","7896.41357623165","9.50082760257293","1.44128224910447","335.863364421028","0.590732070221599","19718381.601502","Inf","10.7127835367014","13.862968450856","0.458018883765904","0.207966586368947"
"AM Min/unl/30/15 (1 activity)","9370069","390","5","0","141.74424297671","0","2389500","4.54331199163825","2669.92989704243","3.58352855592707","0.6536979386706","23.3998076376593","0.0442881448835367","2171970.382333","0","3.94259533996853","5","0.456688008361747","0.193117477732733","19752534","875","10","0","266.507083921403","0","5520000","9.18673647501203","5315.11774302409","6.90901120619617","1.25960790528015","24.744963713617","0.0463140292467464","5070534.979334","0","7.78031558176968","10","0.813263524987973","0.197775535907292"
"90/40/120/40","22723352","1197","11.8160999904452","5.13683982600148","397.331533127864","0","17752500","11.5781794416471","6530.56248317679","8.0119077813177","1.07014717186242","340.311136643543","0.621909382131584","17134350.237001","Inf","8.86854224672687","11.8134220143693","0.430487482838533","0.235768802113858","19763548","929","9.80950826282315","8.40717987709664","324.480039033496","0","13773000","9.66295144606238","5327.09293492135","6.49514657474824","0.866647802276187","229.689947966487","0.422212652655988","13314610.541666","Inf","7.27915980856474","9.80850848515831","0.351263431902387","0.24320807495884"
"45/ 30/100/10","7519741","246","3.71017258603466","9.66338808250573","120.475076394194","0","1692000","3.64928727505703","2193.80877192982","2.64632540694373","0.46089783367519","66.3106725146199","0.119243448593359","1543920.535833","Inf","3.07885380893262","3.75227317549049","0.387163507029639","0.199085484589407","5937961","183","2.87283209826255","1.41564039408867","90.5072106803741","0","1309500","2.74245220219124","1533.42930856553","2.02634376176617","0.357799507672185","56.2980981866431","0.107438170572582","1198874.201499","Inf","2.34240478083424","2.89107871762943","0.262756973406489","0.188525784061936"
"75 /20/60/15","13180704","651","6.56609525930551","1.44708587482665","222.278878550345","0","3838500","6.40259695966461","4000.93229644918","4.7734605117725","0.732130515854993","56.37904547005","0.0978636875472549","3510815.393333","Inf","5.37484579142479","6.56016346314993","0.603556792838197","0.206797954606999","17782658","776","8.7001485793195","2.96704861253714","291.766848914485","0","4570500","8.20117264874244","5051.37618135377","5.97861472337689","0.882500827819482","68.3623157249932","0.11971637130242","4167566.497002","Inf","6.79850263753956","8.69579297006193","0.811507758320322","0.214859113839187"
"60 /30/120/15","7519666","337","3.90948271106404","2.55402298850575","115.752962794918","0","2224500","3.65175598424097","2255.2095959596","2.68090177947632","0.448909493236038","69.0304834054834","0.122339530970652","2031549.703999","Inf","3.06505952655368","3.91829887381732","0.358099266102897","0.204415110052226","9859457","366","4.79231572080887","5.19041095890411","147.043362171308","0","2452500","4.56311025496147","2818.72798582996","3.24810143273275","0.547718466288654","77.5674763832659","0.131049473418699","2240289.839834","Inf","3.80418308771849","4.81666571936326","0.45553860442331","0.201346569819496"
"40/40/90/10","13167768","539","6.81389822520068","0.932749473744097","167.2037437558","0","3472500","6.4391908702041","3576.65911091197","4.8231080344733","0.973086678137378","69.2081081898015","0.134600644144636","3195973.660167","Inf","5.70130214687074","6.7448435121825","0.564448023759281","0.156828366915601","19792362","877","9.7581377895115","1.06795117540139","240.887743444652","0","5919000","9.26539134064395","4957.52092724808","6.73954620571717","1.3047614488246","74.1055140292693","0.148955045023121","5486021.581166","Inf","7.981785908418","9.75596600607105","0.738647581214485","0.171070395467826"
"90 unl/120/20","11294121","375","5.76771018455229","8.55517020063608","194.072725483621","0","4882500","5.70086202383374","3423.10190918473","3.99730079433772","0.63988427042746","130.721638655462","0.228142184552505","4639684.303333","Inf","4.51206177948233","5.77569615768441","0.315416584175356","0.219698930938816","11891391","361","6","1.3559510567297","187.648075800887","0","4726500","5.70314665271086","3063.69841269841","3.9451638067056","0.663049641822812","90.1037851037851","0.17450496737324","4492941.616667","0","4.59127031311695","6","0.299361488426859","0.201893734539204"
"150 /unl/80/30","7514649","381","4","1.14615961858458","142.069250889455","0","5607000","3.84845274529742","2353.34277344622","2.75450453610086","0.394433700831535","43.5830051174879","0.0741640666067116","5395491.252667","0","3.02792416472234","4","0.153505975516674","0.221269197480695","15797707","705","7.96103896103896","3.05074640634828","276.028031193803","0","10305000","7.69868815699998","4443.87789294755","5.31021513996414","0.735597918725756","61.8221171959562","0.111349743265403","9919021.912166","Inf","5.93123446070742","7.96010638297872","0.30655821780781","0.232260741055916"
"150/unl/125/10","9358596","703","4.94466762962294","7.09633869800153","134.53547934452","0","7764000","4.75890601807787","2878.75517473118","3.77083330448336","0.596106786574429","107.94850082713","0.185902105906306","7389689.418833","Inf","3.88701227790092","4.9925601469316","0.257178748138217","0.21634435797106","11861283","659","5.85583817203037","6.40931047901447","154.651707731627","0","6793500","5.70050945165514","3475.71197858514","4.57838176956861","0.755836518807735","137.1336718748","0.232515775137164","6459376.292833","Inf","4.71113002310226","5.9675146238582","0.314472851497626","0.210397825833687"
"50/30/120/30","22641785","1198","11.0086998433389","5.71587476037225","314.474873621356","0","17403000","11.6474126839679","6807.54574088192","8.2787248293969","1.40028250390341","294.640862207967","0.509566510980612","16892154.250834","Inf","9.44914753756281","10.9725538804245","0.362424958317878","0.186727237787679","21688161","1052","10.025696140971","5.988923867816","296.652472566899","0","15402000","10.6765381838762","6156.76465090867","7.36783633629134","1.19676062773946","259.63934178744","0.455900394685473","14951791.493001","Inf","8.5037584609633","9.99844766515932","0.333905035310449","0.196432542186519"
"100/unl/120/0","5629072","448","2.98175517997313","5.79285508498992","74.5284272695568","0","4276500","2.877610157677","2032.43781354515","1.88310812640341","0.34235121904418","144.998014214047","0.202771259706457","4104258.854","Inf","2.25492263608587","2.96575306681156","0.141874774854974","0.208430727285022","11845414","838","5.89453339300892","23.2217054605803","153.611719274982","0","6657000","5.71952668571021","4663.6931372549","3.45254998205221","0.600148866741017","531.222549019608","0.672204381890712","6352853.449834","Inf","4.36197315960108","5.81009303635985","0.351720943746809","0.217890201887043"
"45/25/120/20","20744297","934","9.79816316207471","5.1693714451562","316.961473898002","0","6513000","10.0820630680259","5677.97555154609","7.40373699202407","1.21293853529606","199.475348881985","0.38084673548015","5969823.614499","Inf","8.41451257578612","9.86971964804778","0.936569663925908","0.206494246692739","27625425","1153","12.8293460370895","8.57766266605017","422.110021651983","0","8029500","12.8041686496551","7232.22995276851","9.18252552032498","1.45705635014162","285.073594945113","0.542342259329681","7342149.382667","Inf","10.5164956644627","12.9204076446295","1.22659255494538","0.218025595596454"
"25/15/ 75/0","9437886","209","3.23273522605646","11.3760344003822","150.765737643999","0","1425000","4.54303638889879","2503.25555555556","2.9969334853463","0.555020822567322","52.4706349206349","0.100895243186826","1290494.668668","Inf","3.83947387620776","3.28922541510845","0.499205164049372","0.180906641573418","11900026","212","3.70688205865617","2.34047366560622","160.902382120496","0","1474500","5.50612555488925","2747.7417027417","3.68338826555626","0.745426246234878","60.710588023088","0.124162354425045","1348944.599166","Inf","4.78282786136522","3.78227990980875","0.50236771277301","0.158438190091824"
"Min/60/120/7D","67878849","871","35.4904761904762","277.166562238931","1505.049377741","54","6472650","32.714541124361","25480.8268231768","18.6367500072616","2.23731455122958","3732.95716783217","5.08943364692818","5899088.942","Inf","22.4666755252051","35.2570970695971","3.67143659490618","0.315261438543288","65048484","656","31.6942307692308","314.276213988936","1511.60433187305","0","5056500","30.0192924145613","21423.2602342102","15.175560086271","1.73138368740673","2789.02946497947","4.30323548597707","4619599.307334","Inf","18.9008248989013","31.0727793460877","3.10897529760611","0.340336196547616"
"Top-2 60/30/90/0","11271204","221","5.48598048421625","2.43181818181818","168.687724584783","0","1497000","5.58441588036018","3023.17777777778","3.90858837860563","0.701988209216151","48.1897435897436","0.0925875585331555","1391712.972","Inf","4.76950339725731","5.41396648475734","0.424920943374546","0.170181486735811","9868057","151","4.51216364147399","0.541666666666667","154.317632636181","0","1005000","4.59591186112982","2221.63315018315","2.96758511978028","0.462594732774443","17.782967032967","0.0409621390257085","924156.072501","Inf","3.75179654394789","4.55123573003932","0.406276691058727","0.198351837826461"
